year,recipient,Health ODA,Health ODA (including COVID-19)
2008,Africa,8851.22091379403,8851.22091379403
2008,Low income,4336.015637831404,4336.015637831404
2008,Other income levels,13080.853087836866,13080.853087836866
2008,Other regions,8565.647811874238,8565.647811874238
2009,Africa,9882.873266398628,9882.873266398628
2009,Low income,4668.400231092815,4668.400231092815
2009,Other income levels,15226.340807866905,15226.340807866905
2009,Other regions,10011.867772561094,10011.867772561094
2010,Africa,10631.169335107767,10631.169335107767
2010,Low income,5401.020375950217,5401.020375950217
2010,Other income levels,15985.488991788694,15985.488991788694
2010,Other regions,10755.340032631146,10755.340032631146
2011,Africa,10961.822537763692,10961.822537763692
2011,Low income,5665.863330931944,5665.863330931944
2011,Other income levels,16229.826621914108,16229.826621914108
2011,Other regions,10933.867415082359,10933.867415082359
2012,Africa,12160.94567453993,12160.94567453993
2012,Low income,6166.001782186171,6166.001782186171
2012,Other income levels,16426.814336564392,16426.814336564392
2012,Other regions,10431.870444210632,10431.870444210632
2013,Africa,13591.765292470198,13591.765292470198
2013,Low income,7031.385751761602,7031.385751761602
2013,Other income levels,17962.8682536816,17962.8682536816
2013,Other regions,11402.488712973005,11402.488712973005
2014,Africa,12991.208745988077,12991.208745988077
2014,Low income,7064.945949294702,7064.945949294702
2014,Other income levels,16483.669613058122,16483.669613058122
2014,Other regions,10557.406816364746,10557.406816364746
2015,Africa,13387.931206757035,13387.931206757035
2015,Low income,7168.555206555895,7168.555206555895
2015,Other income levels,17259.87732586303,17259.87732586303
2015,Other regions,11040.501325661891,11040.501325661891
2016,Africa,14132.166086111152,14132.166086111152
2016,Low income,7696.554490476023,7696.554490476023
2016,Other income levels,17621.192670494875,17621.192670494875
2016,Other regions,11185.581074859745,11185.581074859745
2017,Africa,15092.914481387017,15092.914481387017
2017,Low income,8489.752535819762,8489.752535819762
2017,Other income levels,19898.71643012201,19898.71643012201
2017,Other regions,13295.554484554756,13295.554484554756
2018,Africa,14092.616917946743,14092.616917946743
2018,Low income,7955.169297398669,7955.169297398669
2018,Other income levels,17867.866086011374,17867.866086011374
2018,Other regions,11730.418465463299,11730.418465463299
2019,Africa,13347.728734873079,13347.728734873079
2019,Low income,7819.84675263697,7819.84675263697
2019,Other income levels,16526.96865135937,16526.96865135937
2019,Other regions,10999.086669123259,10999.086669123259
2020,Africa,11672.689783307462,16007.99135666731
2020,Low income,6196.9686073467365,8667.335274206947
2020,Other income levels,14757.970243675509,23056.885168716613
2020,Other regions,9282.249067714783,15716.229086256251
2021,Africa,10618.300903360248,16916.392068906593
2021,Low income,5775.228907372299,8669.467805312808
2021,Other income levels,13748.441115304118,28140.833506191724
2021,Other regions,8905.369119316169,19893.90924259794
2022,Africa,11633.740520572253,17644.20518634225
2022,Low income,6968.521354346156,10432.308616182505
2022,Other income levels,17027.31942268888,30695.384983247743
2022,Other regions,12362.100256462785,23483.488413087995
2023,Africa,10905.557799,15464.456438
2023,Low income,6588.154131,9038.127604
2023,Other income levels,13570.694358,19108.514949
2023,Other regions,9253.29069,12682.186115
